dataset,best_tfidf_model,tfidf_accuracy,bert_accuracy,delta_accuracy,tfidf_energy_kwh,bert_energy_kwh,delta_energy_kwh,tfidf_co2_kg,bert_co2_kg,tfidf_energy_per_test_ex_kWh,bert_energy_per_test_ex_kWh,joules_per_1pct_acc
amazon,TF-IDF+LOGREG,0.8764,0.94785,0.07145000000000001,0.0001857543371205,0.1990223277057869,0.1988365733686664,6.856831167350798e-05,0.0734659831240426,4.6438584280125e-09,4.975558192644673e-06,100183.5779044365
ag_news,TF-IDF+SVM,0.9164473684210528,0.9501315789473684,0.03368421052631565,0.0002396266539848,0.0585332208101599,0.058293594156175105,8.845443584472989e-05,0.0216066240496997,3.152982289273684e-08,7.701739580284198e-06,62301.2787544124
dbpedia,TF-IDF+SVM,0.9783142857142856,0.9922714285714286,0.013957142857143001,0.0013078915166951,0.277645057139762,0.2763371656230669,0.0004827877213638,0.102488335441725,1.8684164524215714e-08,3.9663579591394575e-06,712763.211228374
