dataset,BERT-base,TF-IDF+CNB,TF-IDF+LOGREG,TF-IDF+SVM
ag_news,8.105971584290251e-06,5.533862629874169e-09,2.8244045223543796e-08,3.44044011464178e-08
amazon,5.249309693142029e-06,5.198426125410178e-09,5.298788712930739e-09,1.311882194975465e-08
dbpedia,3.997250999003182e-06,1.9208524296367957e-09,1.1635925502094804e-08,1.9098325351115625e-08
