dataset,best_tfidf_model,best_tfidf_acc,best_tfidf_co2_kg,best_tfidf_energy_kwh,bert_acc,bert_energy_kwh,bert_co2_kg,delta_acc,delta_energy_kwh
ag_news,TF-IDF+SVM,0.9164473684210528,8.845443584472989e-05,0.0002396266539848,0.9501315789473684,0.0585332208101599,0.0216066240496997,0.03368421052631565,0.058293594156175105
amazon,TF-IDF+LOGREG,0.8764,6.856831167350798e-05,0.0001857543371205,0.94785,0.1990223277057869,0.0734659831240426,0.07145000000000001,0.1988365733686664
dbpedia,TF-IDF+SVM,0.9783142857142856,0.0004827877213638,0.0013078915166951,0.9922714285714286,0.277645057139762,0.102488335441725,0.013957142857143001,0.2763371656230669
