dataset,best_tfidf_model,delta_accuracy,delta_energy_kwh
amazon,TF-IDF+LOGREG,0.07145000000000001,0.1988365733686664
ag_news,TF-IDF+SVM,0.03368421052631565,0.058293594156175105
dbpedia,TF-IDF+SVM,0.013957142857143001,0.2763371656230669
